world,district,ward_number,plot_number,house_size,lotto_entries
Excalibur,Shirogane,13,26,1,12
Adamantoise,The Lavender Beds,22,27,2,69
Exodus,Empyreum,8,24,1,1
Jenova,Mist,1,46,1,7
Balmung,Mist,16,33,1,24
Faerie,The Goblet,24,12,2,45
Diabolos,The Goblet,12,36,2,19
Coeurl,Shirogane,17,40,1,6
Jenova,The Goblet,5,23,1,7
Jenova,Mist,15,30,2,167
Jenova,Mist,10,54,1,8
Diabolos,Mist,25,9,1,2
Faerie,Shirogane,23,3,1,29
Lamia,Empyreum,23,12,3,125
Zalera,Shirogane,17,21,1,32
Coeurl,The Lavender Beds,26,59,1,31
Diabolos,Mist,26,24,1,5
Lamia,Empyreum,17,6,1,2
Famfrit,Mist,12,59,2,46
Brynhildr,The Goblet,11,60,3,111
Siren,Shirogane,2,56,1,4
Jenova,Empyreum,14,10,1,8
Sargatanas,The Goblet,8,1,1,4
Hyperion,The Lavender Beds,22,46,2,86
Hyperion,The Lavender Beds,19,12,1,10
Zalera,Empyreum,23,59,1,6
Siren,Empyreum,7,25,1,7
Mateus,Shirogane,9,47,1,14
Mateus,Shirogane,20,53,1,14
Zalera,The Lavender Beds,26,31,2,43
Zalera,The Lavender Beds,20,57,2,50
Brynhildr,The Lavender Beds,7,55,1,7
Excalibur,Shirogane,21,1,2,166
Zalera,The Goblet,8,30,3,128
Gilgamesh,The Goblet,26,30,3,128
Gilgamesh,Shirogane,12,52,1,34
Siren,The Lavender Beds,20,15,1,9
Excalibur,Empyreum,27,40,1,10
Excalibur,Empyreum,12,49,1,9
Excalibur,Mist,14,25,1,9
Sargatanas,Mist,6,12,1,1
Cactuar,The Lavender Beds,30,56,1,15
Faerie,Empyreum,17,59,1,9
Midgardsormr,Mist,29,17,1,19
Leviathan,The Goblet,27,48,1,3
Leviathan,The Goblet,23,18,1,3
Leviathan,The Goblet,19,9,1,3
Mateus,Empyreum,21,27,1,12
Mateus,Empyreum,17,40,1,8
Malboro,Shirogane,30,59,1,7
Malboro,Empyreum,20,34,1,2
Excalibur,Shirogane,27,32,1,12
Leviathan,The Lavender Beds,23,20,1,7
Leviathan,The Lavender Beds,11,8,1,5
Lamia,The Goblet,8,31,1,1
Leviathan,Shirogane,10,35,1,9
Sargatanas,The Lavender Beds,14,43,1,11
Hyperion,Mist,18,40,1,8
Midgardsormr,The Lavender Beds,30,7,1,19
Mateus,The Goblet,21,54,1,10
Siren,Shirogane,18,39,1,7
Siren,Shirogane,15,42,1,9
Siren,Empyreum,11,19,1,6
Siren,The Goblet,10,21,1,5
Siren,The Goblet,9,4,2,50
Coeurl,Shirogane,10,52,1,15
Goblin,Mist,20,59,2,62
Goblin,Mist,16,1,2,57
Sargatanas,Empyreum,30,16,1,5
Sargatanas,Empyreum,23,13,1,8
Ultros,The Goblet,28,5,3,100
Coeurl,The Lavender Beds,13,7,1,9
Siren,Shirogane,17,50,1,11
Siren,Shirogane,17,42,1,7
Faerie,The Goblet,17,33,1,9
Famfrit,The Goblet,13,14,1,3
Goblin,The Lavender Beds,21,31,2,54
Goblin,The Lavender Beds,7,29,1,31
Midgardsormr,The Lavender Beds,6,32,1,13
Sargatanas,Mist,24,28,1,8
Balmung,Empyreum,14,34,1,19
Balmung,The Goblet,24,58,1,21
Balmung,Mist,29,29,2,153
Mateus,Mist,16,21,1,32
Jenova,The Lavender Beds,25,55,1,4
Mateus,The Goblet,9,34,2,63
Coeurl,Shirogane,10,45,2,96
Gilgamesh,Empyreum,10,16,1,7
Exodus,Empyreum,11,31,1,7
Malboro,Empyreum,24,27,1,4
Malboro,Empyreum,20,59,1,2
Malboro,Empyreum,19,49,1,3
Faerie,The Lavender Beds,11,26,1,22
Faerie,The Goblet,29,32,1,8
Siren,The Goblet,8,48,1,6
Siren,The Goblet,8,31,1,4
Gilgamesh,Shirogane,8,49,2,134
Brynhildr,The Goblet,23,12,2,47
Gilgamesh,Empyreum,8,27,1,10
Zalera,Mist,27,31,2,47
Jenova,Mist,30,38,1,12
Leviathan,Mist,9,58,1,5
Excalibur,Mist,17,16,1,10
Excalibur,Mist,8,22,1,19
Excalibur,The Lavender Beds,9,19,1,15
Adamantoise,Shirogane,29,41,1,6
Exodus,Shirogane,23,10,1,3
Exodus,Shirogane,20,57,1,5
Adamantoise,Mist,22,59,2,57
Zalera,Mist,30,24,1,10
Adamantoise,Empyreum,15,47,2,70
Adamantoise,Empyreum,13,15,1,5
Behemoth,Shirogane,7,55,1,3
Behemoth,The Goblet,29,5,3,67
Diabolos,Mist,30,50,1,28
Gilgamesh,Empyreum,11,24,1,11
Gilgamesh,Empyreum,20,42,3,127
Diabolos,The Lavender Beds,7,5,2,107
Diabolos,The Goblet,27,34,2,20
Balmung,Shirogane,21,57,1,31
Goblin,The Goblet,8,42,2,29
Jenova,Mist,23,55,1,13
Adamantoise,Shirogane,29,44,1,10
Adamantoise,Shirogane,29,57,1,11
Ultros,The Goblet,27,44,1,3
Ultros,The Goblet,14,38,2,30
Faerie,Empyreum,14,35,1,8
Behemoth,Mist,26,24,1,1
Midgardsormr,Empyreum,22,31,1,16
Midgardsormr,Empyreum,13,57,1,5
Midgardsormr,Shirogane,26,17,1,36
Midgardsormr,The Lavender Beds,7,38,1,19
Famfrit,The Lavender Beds,3,43,1,7
Faerie,The Lavender Beds,14,10,1,22
Diabolos,Empyreum,21,57,1,3
Zalera,Mist,24,7,2,42
Excalibur,Shirogane,10,6,1,15
Balmung,Mist,6,57,1,15
Excalibur,The Lavender Beds,30,7,1,21
Lamia,The Goblet,8,57,1,2
Coeurl,The Goblet,30,53,1,5
Coeurl,Empyreum,14,15,1,7
Diabolos,The Goblet,13,36,2,16
Diabolos,Mist,24,52,1,6
Gilgamesh,The Goblet,9,45,1,14
Gilgamesh,Shirogane,27,9,1,20
Mateus,Mist,30,57,1,11
Exodus,Empyreum,23,29,1,4
Famfrit,Empyreum,19,13,1,4
Goblin,The Lavender Beds,25,13,1,6
Brynhildr,Empyreum,23,36,1,5
Brynhildr,The Lavender Beds,10,10,1,24
Balmung,The Goblet,29,30,3,361
Mateus,Shirogane,30,36,1,12
Mateus,The Lavender Beds,12,22,1,26
Famfrit,Shirogane,8,48,1,3
Jenova,Empyreum,22,60,3,118
Exodus,Empyreum,26,39,1,3
Exodus,Empyreum,18,49,1,1
Diabolos,Empyreum,13,27,1,4
Faerie,Shirogane,1,34,1,4
Leviathan,The Lavender Beds,18,37,1,6
Leviathan,Mist,17,59,2,44
Jenova,The Goblet,9,40,1,8
Jenova,Shirogane,29,27,1,22
Ultros,Shirogane,8,1,2,145
Lamia,The Lavender Beds,11,23,1,6
Cactuar,The Goblet,29,27,1,8
Behemoth,Empyreum,10,31,1,6
Faerie,The Lavender Beds,30,46,2,160
Faerie,Empyreum,22,2,2,84
Faerie,Empyreum,21,44,1,7
Jenova,Empyreum,21,32,2,43
Lamia,Empyreum,23,40,1,3
Malboro,Shirogane,18,19,2,65
Malboro,Empyreum,28,59,1,3
Malboro,Shirogane,26,42,1,4
Malboro,The Goblet,15,17,1,4
Faerie,The Goblet,21,21,1,8
Sargatanas,The Goblet,19,48,1,5
Adamantoise,Empyreum,28,19,1,5
Adamantoise,Empyreum,30,25,1,6
Adamantoise,Empyreum,25,58,1,4
Adamantoise,Empyreum,23,10,1,3
Adamantoise,Empyreum,18,14,1,4
Adamantoise,Empyreum,10,45,1,3
Adamantoise,The Lavender Beds,22,9,1,19
Sargatanas,Mist,14,31,2,149
Sargatanas,Mist,3,52,1,1
Mateus,Shirogane,30,18,1,14
Hyperion,Empyreum,19,17,2,56
Hyperion,Shirogane,20,40,1,13
Hyperion,Shirogane,8,36,1,13
Diabolos,Shirogane,26,27,1,17
Cactuar,Mist,21,42,1,8
Ultros,Shirogane,16,32,1,4
Ultros,The Lavender Beds,29,42,1,8
Famfrit,Empyreum,5,36,1,1
Goblin,The Goblet,27,1,1,4
Midgardsormr,Mist,14,30,2,182
Lamia,Empyreum,17,40,1,3
Coeurl,The Lavender Beds,28,25,1,11
Balmung,Shirogane,19,33,1,53
Gilgamesh,Mist,15,56,1,9
Siren,Shirogane,10,48,1,13
Siren,The Goblet,7,17,1,9
Siren,Empyreum,26,4,1,13
Siren,Empyreum,7,27,1,8
Gilgamesh,Shirogane,4,12,1,6
Goblin,Mist,5,19,1,11
Excalibur,Mist,27,39,1,12
Mateus,Empyreum,12,5,1,12
Gilgamesh,The Goblet,9,51,1,10
Siren,Mist,28,31,2,91
Siren,Mist,8,42,1,10
Cactuar,The Goblet,24,17,1,16
Goblin,The Lavender Beds,14,39,1,17
Cactuar,The Lavender Beds,13,56,1,12
Mateus,Empyreum,28,47,2,77
Mateus,The Goblet,5,2,1,9
Lamia,Empyreum,10,1,1,8
Leviathan,The Lavender Beds,26,10,1,10
Brynhildr,The Lavender Beds,14,22,1,13
Gilgamesh,The Goblet,9,53,1,9
Adamantoise,Mist,23,22,1,13
Gilgamesh,Shirogane,22,50,1,15
Cactuar,Mist,20,32,3,326
Adamantoise,The Lavender Beds,22,23,1,8
Adamantoise,The Lavender Beds,18,29,1,36
Adamantoise,The Lavender Beds,9,25,1,8
Malboro,Empyreum,25,36,1,1
Malboro,Empyreum,14,59,1,2
Diabolos,Empyreum,24,54,1,4
Diabolos,Empyreum,24,33,1,4
Diabolos,Empyreum,3,44,1,4
Siren,The Lavender Beds,1,48,1,4
Cactuar,The Lavender Beds,8,53,1,18
Faerie,The Goblet,27,3,1,8
Hyperion,The Goblet,10,52,1,4
Exodus,Mist,11,14,2,37
Excalibur,The Goblet,10,23,1,11
Excalibur,The Goblet,28,48,1,7
Faerie,Shirogane,4,49,2,97
Jenova,Empyreum,23,25,1,8
Jenova,Empyreum,15,18,2,61
Jenova,The Goblet,7,47,1,18
Diabolos,The Lavender Beds,21,20,1,7
Sargatanas,Mist,24,48,1,19
Cactuar,Shirogane,30,57,1,26
Cactuar,Shirogane,27,54,2,135
Malboro,Mist,12,18,1,15
Cactuar,Empyreum,28,57,1,11
Zalera,Mist,30,58,1,10
Zalera,Mist,8,58,1,8
Coeurl,The Lavender Beds,23,7,1,12
Coeurl,Empyreum,18,41,1,7
Coeurl,Empyreum,12,6,1,7
Jenova,The Goblet,21,57,1,8
Jenova,The Goblet,1,46,1,8
Ultros,The Goblet,11,42,2,30
Ultros,The Goblet,14,52,1,2
Siren,Empyreum,8,14,1,5
Siren,The Lavender Beds,15,9,1,22
Siren,The Lavender Beds,7,5,2,96
Hyperion,Mist,6,57,1,2
Malboro,Shirogane,12,49,2,61
Jenova,Shirogane,2,53,1,9
Excalibur,The Goblet,29,2,1,5
Balmung,Shirogane,27,2,1,26
Siren,Shirogane,1,24,2,77
Cactuar,The Lavender Beds,17,32,1,11
Lamia,The Goblet,10,27,1,6
Malboro,Mist,26,57,1,3
Midgardsormr,The Goblet,24,59,1,6
Midgardsormr,The Goblet,13,51,1,5
Mateus,Empyreum,28,48,2,83
Midgardsormr,The Goblet,3,9,1,10
Exodus,Shirogane,15,40,1,4
Brynhildr,Empyreum,11,13,1,4
Gilgamesh,Shirogane,14,57,1,13
Brynhildr,Mist,28,46,1,7
Sargatanas,Mist,14,11,1,11
Siren,The Lavender Beds,21,9,1,25
Hyperion,Empyreum,7,16,1,3
Malboro,The Goblet,7,45,1,2
Goblin,Mist,4,56,1,4
Siren,Empyreum,24,35,1,7
Diabolos,The Goblet,12,48,1,11
Exodus,Mist,16,24,1,3
Mateus,The Lavender Beds,27,18,1,14
Goblin,Mist,22,24,1,6
Ultros,The Lavender Beds,19,24,1,8
Famfrit,Shirogane,1,44,1,4
Faerie,The Lavender Beds,6,31,2,47
Zalera,Shirogane,10,17,1,22
Gilgamesh,Shirogane,21,44,1,16
Zalera,Mist,28,46,1,7
Jenova,Empyreum,17,16,1,10
Jenova,Empyreum,16,38,2,34
Jenova,Empyreum,8,3,1,13
Jenova,The Goblet,10,31,1,8
Sargatanas,The Goblet,11,19,2,148
Balmung,The Goblet,26,39,1,18
Balmung,Shirogane,27,31,2,180
Sargatanas,Shirogane,1,21,1,10
Jenova,The Lavender Beds,19,42,1,13
Siren,Mist,28,12,1,13
Famfrit,Empyreum,22,50,1,3
Famfrit,Empyreum,12,29,1,2
Coeurl,The Lavender Beds,29,30,2,158
Coeurl,The Lavender Beds,11,24,1,11
Balmung,The Goblet,21,40,1,17
Balmung,The Goblet,23,38,2,82
Zalera,The Goblet,11,21,1,5
Brynhildr,Empyreum,17,28,1,6
Faerie,The Lavender Beds,12,23,1,14
Brynhildr,The Lavender Beds,11,51,2,75
Brynhildr,The Goblet,27,26,1,6
Brynhildr,The Goblet,10,14,1,16
Brynhildr,The Goblet,4,1,1,5
Gilgamesh,Empyreum,19,44,1,7
Brynhildr,Empyreum,1,30,3,102
Mateus,Empyreum,5,35,1,7
Coeurl,Mist,13,41,1,8
Cactuar,Mist,29,57,1,8
Cactuar,Mist,17,19,1,33
Brynhildr,Mist,23,38,1,10
Famfrit,Empyreum,7,45,1,5
Jenova,The Lavender Beds,23,22,1,26
Mateus,Shirogane,12,43,2,79
Coeurl,Shirogane,5,10,1,3
Sargatanas,Mist,26,57,1,5
Cactuar,Empyreum,27,43,1,8
Adamantoise,Shirogane,30,46,3,202
Siren,The Goblet,10,53,1,5
Cactuar,The Goblet,8,9,1,12
Excalibur,The Goblet,21,54,1,9
Exodus,The Goblet,27,41,2,18
Brynhildr,Empyreum,24,16,1,5
Diabolos,Empyreum,27,19,1,8
Diabolos,Empyreum,24,4,1,2
Famfrit,Empyreum,1,56,2,48
Brynhildr,Mist,13,7,2,63
Famfrit,Mist,5,11,1,3
Cactuar,The Lavender Beds,14,30,2,142
Faerie,Empyreum,28,53,1,10
Diabolos,Mist,19,56,1,7
Faerie,The Lavender Beds,11,30,2,104
Leviathan,Shirogane,4,15,2,46
Jenova,The Goblet,8,42,2,31
Gilgamesh,Mist,2,39,1,10
Diabolos,Empyreum,23,9,1,4
Adamantoise,Shirogane,17,44,1,7
Adamantoise,The Lavender Beds,15,48,1,8
Adamantoise,Empyreum,23,33,1,4
Malboro,Empyreum,27,16,1,5
Malboro,Empyreum,22,43,1,2
Malboro,Shirogane,9,35,1,10
Exodus,The Goblet,15,6,2,21
Exodus,Empyreum,12,50,1,3
Diabolos,Empyreum,13,29,1,3
Diabolos,Shirogane,2,9,1,3
Diabolos,Mist,21,60,2,105
Hyperion,The Goblet,10,55,2,39
Gilgamesh,Empyreum,29,54,1,10
Gilgamesh,Empyreum,21,34,1,9
Gilgamesh,The Goblet,25,52,1,4
Sargatanas,Empyreum,28,50,1,4
Goblin,Mist,17,55,1,5
Gilgamesh,Mist,11,45,3,244
Leviathan,The Lavender Beds,29,32,1,4
Cactuar,Empyreum,13,49,1,6
Jenova,The Goblet,28,15,1,15
Jenova,The Goblet,27,60,3,196
Siren,Empyreum,7,19,1,5
Siren,The Goblet,10,27,1,7
Siren,Mist,7,21,1,33
Brynhildr,The Lavender Beds,30,20,1,6
Diabolos,The Lavender Beds,29,53,1,8
Diabolos,The Lavender Beds,21,39,1,27
Excalibur,The Goblet,4,28,1,11
Goblin,Mist,10,50,1,8
Goblin,Mist,21,32,3,122
Cactuar,The Goblet,13,28,1,10
Adamantoise,The Lavender Beds,26,45,1,10
Excalibur,The Goblet,16,42,2,76
Hyperion,The Lavender Beds,11,30,2,58
Faerie,The Goblet,17,53,1,8
Lamia,Empyreum,27,16,1,3
Midgardsormr,Empyreum,22,37,2,112
Siren,Mist,19,3,1,10
Malboro,Shirogane,30,9,1,9
Diabolos,Shirogane,18,11,1,9
Diabolos,Shirogane,9,23,1,15
Malboro,The Lavender Beds,17,38,1,14
Lamia,Empyreum,13,39,1,4
Sargatanas,The Lavender Beds,27,9,1,40
Gilgamesh,The Lavender Beds,7,35,2,143
Balmung,Mist,27,50,1,63
Siren,The Lavender Beds,27,4,1,9
Coeurl,Shirogane,27,26,1,5
Coeurl,The Lavender Beds,3,50,1,7
Goblin,Shirogane,20,39,1,14
Lamia,Mist,30,59,2,62
Exodus,Shirogane,30,14,1,10
Exodus,Shirogane,19,3,1,19
Exodus,Shirogane,8,53,1,9
Exodus,The Lavender Beds,30,10,1,13
Exodus,Mist,28,17,1,2
Adamantoise,Empyreum,5,31,1,12
Famfrit,Shirogane,23,34,1,4
Zalera,Empyreum,8,31,1,9
Coeurl,The Lavender Beds,8,49,1,9
Lamia,The Lavender Beds,9,18,1,11
Adamantoise,Empyreum,27,41,1,5
Behemoth,The Goblet,28,34,2,28
Midgardsormr,Mist,5,34,2,134
Faerie,The Lavender Beds,21,5,2,76
Balmung,The Goblet,29,29,1,28
Ultros,Mist,24,17,1,9
Goblin,Mist,1,12,1,17
Famfrit,The Goblet,23,9,1,3
Brynhildr,Shirogane,7,2,1,18
Behemoth,The Lavender Beds,8,31,2,59
Siren,Empyreum,27,15,1,5
Cactuar,The Goblet,30,15,1,17
Faerie,Shirogane,13,12,1,19
Diabolos,The Goblet,8,8,2,32
Excalibur,The Lavender Beds,13,39,1,47
Mateus,Shirogane,30,35,1,15
Diabolos,The Lavender Beds,26,24,1,7
Diabolos,Shirogane,14,34,1,7
Famfrit,Mist,20,26,1,9
Brynhildr,Shirogane,13,38,2,143
Jenova,Empyreum,15,40,1,8
Jenova,The Lavender Beds,16,17,1,33
Hyperion,Mist,14,60,2,121
Lamia,The Lavender Beds,23,8,1,17
Malboro,Empyreum,9,6,1,2
Jenova,The Lavender Beds,5,54,1,11
Siren,Shirogane,26,10,1,9
Siren,Shirogane,21,1,2,147
Brynhildr,The Goblet,28,33,1,6
Coeurl,Shirogane,30,9,1,10
Leviathan,Shirogane,30,28,2,92
Leviathan,Empyreum,23,37,2,43
Brynhildr,Empyreum,16,3,1,6
Cactuar,Shirogane,8,3,1,30
Zalera,The Lavender Beds,8,17,1,32
Goblin,The Goblet,21,1,1,4
Gilgamesh,Mist,12,26,1,10
Leviathan,The Goblet,16,32,1,1
Midgardsormr,The Lavender Beds,16,54,1,15
Diabolos,Shirogane,26,17,1,17
Siren,The Lavender Beds,26,40,1,12
Sargatanas,The Goblet,28,28,1,7
Cactuar,Empyreum,18,14,1,8
Sargatanas,The Lavender Beds,12,50,1,12
Hyperion,The Lavender Beds,17,16,2,107
Diabolos,Mist,12,24,1,8
Balmung,The Lavender Beds,21,48,1,25
Jenova,Empyreum,23,50,1,8
Excalibur,Mist,14,44,2,171
Adamantoise,Shirogane,13,47,1,15
Adamantoise,Shirogane,27,22,1,23
Balmung,Shirogane,19,13,2,119
Jenova,Shirogane,12,19,2,157
Leviathan,Mist,21,7,2,40
Exodus,The Lavender Beds,21,22,1,17
Zalera,Empyreum,18,35,1,5
Faerie,Shirogane,20,36,1,19
Leviathan,Mist,14,14,2,39
Balmung,Empyreum,8,58,1,22
Faerie,Mist,15,12,1,14
Faerie,Mist,3,24,1,11
Gilgamesh,Shirogane,20,56,1,9
Balmung,Mist,23,33,1,27
Mateus,Empyreum,21,57,1,9
Brynhildr,Shirogane,27,35,1,15
Zalera,The Goblet,15,54,1,8
Famfrit,The Lavender Beds,25,38,1,13
Midgardsormr,Mist,21,16,1,8
Famfrit,Shirogane,26,32,1,4
Sargatanas,Shirogane,20,29,1,13
Leviathan,The Lavender Beds,29,11,2,267
Sargatanas,The Lavender Beds,26,4,1,13
Jenova,Mist,19,26,1,16
Malboro,The Goblet,26,1,1,3
Jenova,The Goblet,21,56,1,8
Malboro,Shirogane,26,13,2,53
Gilgamesh,The Lavender Beds,6,55,1,24
Gilgamesh,The Goblet,16,1,1,10
Gilgamesh,The Goblet,11,22,1,7
Balmung,Empyreum,29,34,1,19
Mateus,Shirogane,26,38,2,133
Lamia,Mist,18,51,1,19
Lamia,Mist,1,39,1,2
Mateus,Empyreum,30,57,1,14
Brynhildr,Shirogane,13,2,1,19
Brynhildr,Empyreum,22,41,1,5
Adamantoise,Shirogane,28,2,1,8
Adamantoise,Shirogane,16,50,1,10
Siren,The Lavender Beds,9,30,2,99
Zalera,Empyreum,18,15,1,5
Balmung,Empyreum,1,40,1,14
Famfrit,The Goblet,21,19,2,55
Behemoth,The Goblet,20,15,1,0
Behemoth,The Goblet,8,5,3,68
Hyperion,The Goblet,23,18,1,5
Hyperion,Mist,27,27,1,6
Hyperion,Mist,11,12,1,13
Exodus,The Goblet,6,29,1,4
Midgardsormr,The Goblet,27,15,1,8
Midgardsormr,The Lavender Beds,23,22,1,21
Mateus,Mist,21,36,2,107
Faerie,Shirogane,7,45,2,99
Malboro,Mist,29,31,2,50
Midgardsormr,Mist,20,46,1,9
Adamantoise,Mist,23,42,1,5
Excalibur,The Goblet,26,57,1,7
Diabolos,Mist,21,33,1,5
Balmung,The Lavender Beds,25,22,1,31
Siren,The Goblet,30,19,2,66
Hyperion,Shirogane,25,9,1,2
Malboro,Shirogane,1,11,1,1
Lamia,Empyreum,28,17,2,57
Siren,Empyreum,11,29,1,5
Sargatanas,Mist,8,41,1,8
Ultros,Empyreum,27,3,1,2
Ultros,The Lavender Beds,27,31,2,104
Hyperion,The Goblet,19,12,2,35
Goblin,Empyreum,24,38,2,39
Mateus,Empyreum,27,22,3,241
Cactuar,Empyreum,18,28,1,14
Gilgamesh,The Goblet,29,9,1,9
Exodus,Mist,16,30,2,114
Ultros,Empyreum,14,45,1,2
Adamantoise,Empyreum,30,45,1,4
Cactuar,The Goblet,15,32,1,9
Faerie,The Lavender Beds,13,37,1,19
Lamia,Mist,17,7,2,60
Diabolos,Empyreum,8,34,1,5
Adamantoise,Shirogane,25,39,1,4
Behemoth,The Lavender Beds,24,44,1,9
Malboro,Mist,27,1,2,51
Faerie,Shirogane,29,44,1,26
Siren,The Lavender Beds,24,42,1,10
Mateus,The Goblet,27,46,1,14
Mateus,Mist,29,11,1,15
Mateus,Mist,22,52,1,11
Zalera,Empyreum,21,51,2,42
Famfrit,Empyreum,26,2,2,48
Ultros,Shirogane,16,6,1,5
Faerie,Mist,26,10,1,27
Leviathan,Empyreum,23,22,3,129
Ultros,The Lavender Beds,9,12,1,7
Jenova,Empyreum,27,28,1,9
Leviathan,The Lavender Beds,2,60,2,30
Cactuar,Empyreum,13,9,1,6
Coeurl,The Goblet,18,28,1,5
Lamia,Shirogane,18,53,1,12
Midgardsormr,Empyreum,17,24,1,8
Midgardsormr,Empyreum,2,58,1,8
Midgardsormr,The Goblet,7,15,1,8
Famfrit,The Goblet,4,6,2,30
Siren,The Lavender Beds,20,54,1,7
Faerie,The Goblet,6,41,2,61
Sargatanas,The Goblet,27,39,1,4
Sargatanas,The Goblet,17,56,1,4
Adamantoise,Empyreum,10,55,1,7
Ultros,The Goblet,11,40,1,3
Ultros,Mist,21,49,1,30
Balmung,Shirogane,27,20,1,26
Balmung,Shirogane,12,55,1,21
Lamia,Empyreum,22,11,1,6
Lamia,Empyreum,24,43,1,3
Faerie,The Lavender Beds,1,32,1,10
Famfrit,Shirogane,25,3,1,6
Diabolos,The Goblet,30,18,1,9
Goblin,Shirogane,19,11,1,16
Zalera,Shirogane,13,57,1,17
Jenova,Empyreum,28,9,1,6
Zalera,The Goblet,16,21,1,5
Brynhildr,Empyreum,26,38,2,60
Balmung,Empyreum,24,51,2,109
Famfrit,The Lavender Beds,14,25,1,10
Cactuar,Mist,27,21,1,19
Jenova,The Lavender Beds,22,36,3,138
Jenova,The Lavender Beds,18,10,1,20
Jenova,The Lavender Beds,14,50,1,13
Midgardsormr,Empyreum,14,10,1,6
Midgardsormr,Empyreum,14,45,1,5
Midgardsormr,Empyreum,1,33,1,9
Cactuar,The Lavender Beds,6,29,1,12
Mateus,Empyreum,7,41,1,14
Leviathan,Empyreum,22,27,1,5
Behemoth,Empyreum,10,14,1,1
Behemoth,The Lavender Beds,13,55,1,5
Sargatanas,The Lavender Beds,19,55,1,10
Ultros,The Lavender Beds,2,38,1,1
Malboro,The Lavender Beds,25,42,1,1
Gilgamesh,Empyreum,21,36,1,9
Exodus,Shirogane,24,5,1,9
Exodus,Shirogane,21,39,1,6
Exodus,Shirogane,6,40,1,1
Exodus,The Goblet,19,42,2,15
Exodus,The Goblet,11,59,1,3
Exodus,Empyreum,20,38,2,55
Exodus,Empyreum,16,44,1,2
Cactuar,Empyreum,18,10,1,9
Diabolos,Empyreum,7,48,2,35
Diabolos,Empyreum,5,53,1,3
Ultros,The Goblet,9,1,1,2
Goblin,Shirogane,30,3,1,36
Goblin,Empyreum,3,52,3,129
Ultros,Mist,14,48,1,8
Leviathan,The Lavender Beds,13,24,1,5
Famfrit,Shirogane,12,36,1,4
Faerie,The Goblet,23,44,1,10
Famfrit,Mist,29,34,2,52
Zalera,The Goblet,8,27,1,6
Zalera,Mist,12,59,2,39
Zalera,Shirogane,8,57,1,21
Zalera,The Lavender Beds,20,43,1,9
Cactuar,The Lavender Beds,6,12,1,9
Brynhildr,Empyreum,22,6,1,6
Brynhildr,Mist,17,30,2,69
Coeurl,Shirogane,13,38,2,131
Behemoth,Mist,17,11,1,1
Jenova,The Lavender Beds,18,50,1,12
Brynhildr,Mist,18,30,2,70
Adamantoise,The Lavender Beds,30,5,2,64
Lamia,Empyreum,10,49,1,2
Lamia,The Lavender Beds,20,59,1,30
Lamia,The Lavender Beds,19,56,1,6
Midgardsormr,The Goblet,19,46,1,8
Zalera,The Lavender Beds,12,38,1,12
Coeurl,Mist,15,54,1,7
Zalera,The Lavender Beds,22,5,2,55
Cactuar,The Lavender Beds,11,48,1,10
Coeurl,The Goblet,29,10,1,4
